# Y = U.S. GDP [2005$/year]									
# w_worker = Average U.S. wage [2005$/year-worker]									
# L =total U.S. labor [workers/year]									
# L_A = number of U.S. researchers in the STEM disciplines [workers/year]									
# N = total U.S. population [capita]									
# B = births in the U.S. [births/year]									
# D = deaths in the U.S. [deaths/year]									
# K = U.S. capital stock [2005$]									
# E = U.S. thermal energy consumption [GJ/year]									
#									
Year	Y	w_worker	L	L_A	N	B	D	K	E
1980	5833975000000.0	39086.0	101400000.0	660939.0	227200000.0	3612258.0	1913841.0	7353330000000.0	83112760950.0
1981	5982075000000.0	39099.0	102500000.0	683300.0	229500000.0	3629238.0	1989841.0	7590120000000.0	81176408930.0
1982	5865925000000.0	39125.0	101700000.0	711900.0	231700000.0	3680537.0	1977981.0	7758610000000.0	78029441540.0
1983	6130925000000.0	39871.0	103000000.0	751700.0	233800000.0	3638933.0	1974797.0	7963160000000.0	77589648230.0
1984	6571525000000.0	40421.0	107200000.0	797800.0	235800000.0	3669141.0	2019201.0	8274440000000.0	81427503780.0
1985	6843400000000.0	41317.0	109400000.0	801900.0	237900000.0	3760561.0	2039369.0	8616340000000.0	81355952930.0
1986	7080500000000.0	42421.0	111800000.0	840381.0	240100000.0	3756547.0	2086440.0	8950460000000.0	81578376750.0
1987	7307050000000.0	42911.0	114700000.0	895739.0	242300000.0	3809394.0	2105361.0	9271200000000.0	84205348020.0
1988	7607400000000.0	43349.0	117200000.0	900195.0	244500000.0	3909510.0	2123323.0	9599010000000.0	87997172270.0
1989	7879175000000.0	44081.0	119600000.0	943036.0	246800000.0	4040958.0	2167999.0	9935250000000.0	90695352450.0
1990	8027025000000.0	43344.0	121000000.0	960009.0	249600000.0	4158212.0	2150466.0	10241300000000.0	91178022420.0
1991	8008325000000.0	42726.0	119800000.0	981659.0	253000000.0	4110907.0	2148463.0	10475400000000.0	91154424090.0
1992	8280025000000.0	43054.0	120500000.0	1020000.0	256500000.0	4065014.0	2169518.0	10744600000000.0	92448155690.0
1993	8516175000000.0	44742.0	122100000.0	1014000.0	259900000.0	4000240.0	2175613.0	11065300000000.0	94232721890.0
1994	8863125000000.0	45380.0	124800000.0	1080000.0	263100000.0	3952767.0	2268553.0	11449300000000.0	96065748930.0
1995	9085975000000.0	45859.0	126500000.0	1036000.0	266300000.0	3899589.0	2278994.0	11879000000000.0	98186495330.0
1996	9425850000000.0	46823.0	128300000.0	1139000.0	269400000.0	3891494.0	2312132.0	12389100000000.0	101378213900.0
1997	9845925000000.0	47995.0	131100000.0	1160000.0	272700000.0	3880894.0	2314690.0	12987200000000.0	102230767700.0
1998	10274750000000.0	49276.0	133000000.0	1199000.0	275900000.0	3941553.0	2314245.0	13702500000000.0	102919340800.0
1999	10770630000000.0	51136.0	134900000.0	1261000.0	279000000.0	3959417.0	2337256.0	14518800000000.0	104583817300.0
2000	11216430000000.0	51388.0	138300000.0	1294000.0	282200000.0	4058814.0	2391399.0	15409200000000.0	106936290200.0
2001	11337480000000.0	51478.0	138400000.0	1320000.0	285000000.0	4025933.0	2403351.0	16201300000000.0	104444769100.0
2002	11543100000000.0	51193.0	138000000.0	1342000.0	287600000.0	4021726.0	2416425.0	16858700000000.0	106391985300.0
2003	11836430000000.0	51181.0	139400000.0	1431000.0	290100000.0	4089950.0	2443387.0	17533300000000.0	106687896600.0
2004	12246930000000.0	51109.0	140900000.0	1385000.0	292800000.0	4112052.0	2448288.0	18298400000000.0	108508357500.0
2005	12622950000000.0	52292.0	143400000.0	1375000.0	295500000.0	4138349.0	2397615.0	19139900000000.0	108705755300.0
2006	12958480000000.0	53620.0	146000000.0	1414000.0	298400000.0	4265555.0	2448017.0	19972800000000.0	108223082400.0
2007	13206380000000.0	53434.0	147600000.0	1413000.0	301200000.0	4316233.0	2426264.0	20705300000000.0	110168847900.0
2008	13161930000000.0	51503.0	147000000.0	1498000.0	304100000.0	4247694.0	2423712.0	21234600000000.0	107871770000.0
2009	12703130000000.0	50410.0	141500000.0	1528000.0	306800000.0	4130665.0	2471984.0	21354500000000.0	103272113700.0
2010	13087980000000.0	49692.0	140700000.0	1558000.0	309300000.0	3999386.0	2437163.0	21508000000000.0	107139605300.0
2011	13315080000000.0	50124.0	141500000.0	1588000.0	311600000.0	3953593.0	2468435.0	21763500000000.0	106735322000.0
